,f_10,f_15,f_20,f_21,f_22,f_25,f_26,f_27,f_34,f_48,target
31,0.21,0.14,0.18,0.25,75.26,351.67,0.18,9.24,2.17,66.17,0
32,0.21,0.12,0.18,0.24,75.26,351.67,0.18,9.24,2.16,66.4,0
33,0.21,0.12,0.18,0.25,75.26,351.67,0.18,9.24,2.16,66.24,0
34,0.27,0.09,0.19,0.25,75.26,351.67,0.18,9.24,2.17,66.08,0
35,0.12,0.08,0.12,0.14,75.26,351.67,0.18,9.24,2.17,66.1,0
36,0.18,0.19,0.2,0.3,75.26,351.67,0.18,9.24,2.16,66.3,0
37,0.23,0.07,0.18,0.24,75.26,351.67,0.18,9.24,2.16,66.32,0
38,0.2,0.12,0.19,0.25,75.26,351.67,0.18,9.24,2.16,66.24,0
39,0.08,0.06,0.09,0.12,75.26,351.67,0.18,9.24,1.94,66.15,0
40,0.33,0.23,0.31,0.39,75.26,351.67,0.18,9.24,2.16,66.31,0
41,0.2,0.09,0.16,0.19,75.26,351.67,0.18,9.24,2.17,66.14,0
42,0.32,0.19,0.27,0.33,75.26,351.67,0.18,9.24,2.16,66.27,0
43,0.22,0.12,0.22,0.33,75.26,351.67,0.18,9.24,1.95,65.95,0
44,0.26,0.16,0.26,0.35,75.26,351.67,0.18,9.24,2.17,66.11,0
45,0.19,0.07,0.15,0.18,75.26,351.67,0.18,9.24,2.16,66.19,0
46,0.14,0.25,0.29,0.41,75.26,351.67,0.18,9.24,1.94,66.17,0
47,0.07,0.03,0.06,0.07,75.26,351.67,0.18,9.24,2.16,66.22,0
48,0.17,0.16,0.18,0.22,75.26,351.67,0.18,9.24,1.94,66.04,0
49,0.2,0.1,0.15,0.21,75.26,351.67,0.18,9.24,2.16,66.2,0
50,0.2,0.15,0.27,0.38,75.26,351.67,0.18,9.24,2.17,66.07,0
51,0.24,0.09,0.2,0.25,75.26,351.67,0.18,9.24,2.17,66.15,0
52,0.28,0.2,0.26,0.36,75.26,351.67,0.18,9.24,2.16,66.34,0
53,0.17,0.14,0.17,0.22,75.26,351.67,0.18,9.24,2.17,66.18,0
54,0.18,0.12,0.13,0.19,75.26,351.67,0.18,9.24,2.17,66.04,0
55,0.19,0.14,0.2,0.23,75.26,351.67,0.18,9.24,2.17,66.12,0
56,0.11,0.08,0.12,0.14,75.26,351.67,0.18,9.24,2.16,66.25,0
57,0.19,0.09,0.16,0.22,75.26,351.67,0.18,9.24,2.16,66.36,0
58,0.18,0.2,0.26,0.33,75.26,351.67,0.18,9.24,2.16,66.45,0
59,0.14,0.18,0.18,0.28,75.26,351.67,0.18,9.24,1.93,66.33,0
60,0.2,0.14,0.19,0.26,75.26,351.67,0.18,9.24,2.16,66.39,0
61,0.21,0.11,0.21,0.29,75.26,351.67,0.18,9.24,2.16,66.37,0
62,0.18,0.19,0.2,0.28,75.26,351.67,0.18,9.24,2.16,66.41,0
63,0.18,0.12,0.21,0.31,75.26,351.67,0.18,9.24,2.16,66.33,0
64,0.19,0.23,0.23,0.3,75.26,351.67,0.18,9.24,1.93,66.26,0
65,0.17,0.05,0.17,0.22,75.26,351.67,0.18,9.24,2.17,66.02,0
66,0.27,0.1,0.22,0.35,75.26,351.67,0.18,9.24,2.16,66.17,0
67,0.36,0.16,0.24,0.31,75.26,351.67,0.18,9.24,1.94,66.15,0
68,0.18,0.08,0.16,0.22,75.26,351.67,0.18,9.24,2.16,66.35,0
69,0.18,0.09,0.15,0.19,75.26,351.67,0.18,9.24,2.17,66.13,0
70,0.14,0.14,0.15,0.19,75.26,351.67,0.18,9.24,2.17,66.12,0
71,0.16,0.17,0.17,0.29,75.26,351.67,0.18,9.24,2.16,66.12,0
72,0.17,0.19,0.19,0.31,75.26,351.67,0.18,9.24,1.93,66.27,0
73,0.16,0.15,0.23,0.31,75.26,351.67,0.18,9.24,1.94,66.08,0
74,0.28,0.15,0.25,0.32,75.26,351.67,0.18,9.24,2.16,66.34,0
75,0.11,0.1,0.11,0.14,75.26,351.67,0.18,9.24,2.17,66.13,0
76,0.22,0.17,0.24,0.34,75.26,351.67,0.18,9.24,1.94,66.23,0
77,0.19,0.14,0.18,0.24,75.26,351.67,0.18,9.24,2.16,66.26,0
78,0.21,0.11,0.16,0.21,75.26,351.67,0.18,9.24,2.16,66.33,0
79,0.15,0.07,0.13,0.15,75.26,351.67,0.18,9.24,2.17,66.11,0
80,0.21,0.16,0.23,0.32,75.26,351.67,0.18,9.24,2.16,66.28,0
81,0.14,0.05,0.13,0.17,75.26,351.67,0.18,9.24,2.17,66.12,0
82,0.18,0.2,0.2,0.27,75.26,351.67,0.18,9.24,1.94,66.22,0
83,0.2,0.15,0.23,0.31,75.26,351.67,0.18,9.24,1.93,66.36,0
84,0.15,0.08,0.14,0.18,75.26,351.67,0.18,9.24,1.93,66.29,0
85,0.3,0.21,0.29,0.36,75.26,351.67,0.18,9.24,2.16,66.19,0
86,0.13,0.09,0.13,0.16,75.26,351.67,0.18,9.24,1.95,65.98,0
87,0.18,0.16,0.21,0.27,75.26,351.67,0.18,9.24,1.93,66.37,0
88,0.2,0.11,0.21,0.32,75.26,351.67,0.18,9.24,1.93,66.3,0
89,0.17,0.1,0.15,0.21,75.26,351.67,0.18,9.24,1.94,66.09,0
90,0.24,0.13,0.21,0.28,75.26,351.67,0.18,9.24,2.16,66.4,0
91,0.27,0.22,0.23,0.3,75.26,351.67,0.18,9.24,2.16,66.28,0
92,0.2,0.11,0.18,0.22,75.26,351.67,0.18,9.24,2.16,66.23,0
93,0.23,0.12,0.21,0.27,75.26,351.67,0.18,9.24,2.16,66.3,0
94,0.08,0.05,0.07,0.09,75.26,351.67,0.18,9.24,2.16,66.15,0
95,0.27,0.14,0.18,0.24,75.26,351.67,0.18,9.24,2.16,66.39,0
96,0.17,0.11,0.17,0.2,75.26,351.67,0.18,9.24,1.93,66.3,0
97,0.27,0.23,0.24,0.32,75.26,351.67,0.18,9.24,2.16,66.31,0
98,0.21,0.11,0.22,0.3,75.26,351.67,0.18,9.24,2.17,66.1,0
99,0.2,0.19,0.21,0.3,75.26,351.67,0.18,9.24,2.17,66.14,0
100,0.27,0.18,0.27,0.37,75.26,351.67,0.18,9.24,2.17,66.16,0
101,0.07,0.05,0.08,0.09,75.26,351.67,0.18,9.24,2.16,66.15,0
102,0.23,0.15,0.19,0.23,75.26,351.67,0.18,9.24,1.94,66.18,0
103,0.2,0.21,0.24,0.32,75.26,351.67,0.18,9.24,2.17,66.08,0
104,0.2,0.24,0.23,0.42,75.26,351.67,0.18,9.24,1.94,66.04,0
105,0.17,0.07,0.17,0.23,75.26,351.67,0.18,9.24,2.16,66.41,0
106,0.16,0.1,0.14,0.16,75.26,351.67,0.18,9.24,1.95,65.98,0
107,0.18,0.15,0.19,0.26,75.26,351.67,0.18,9.24,2.16,66.14,0
108,0.14,0.06,0.13,0.14,75.26,351.67,0.18,9.24,2.18,65.98,0
109,0.12,0.11,0.12,0.18,75.26,351.67,0.18,9.24,1.93,66.33,0
110,0.21,0.17,0.2,0.29,75.26,351.67,0.18,9.24,2.17,66.19,0
111,0.25,0.17,0.21,0.29,75.26,351.67,0.18,9.24,2.17,66.01,0
112,0.21,0.05,0.17,0.24,75.26,351.67,0.18,9.24,2.16,66.37,0
113,0.36,0.16,0.32,0.41,75.26,351.67,0.18,9.24,1.93,66.42,0
114,0.14,0.08,0.14,0.17,75.26,351.67,0.18,9.24,1.94,66.16,0
115,0.06,0.04,0.07,0.08,75.26,351.67,0.18,9.24,2.16,66.21,0
116,0.26,0.17,0.24,0.27,75.26,351.67,0.18,9.24,2.16,66.25,0
117,0.13,0.1,0.15,0.18,75.26,351.67,0.18,9.24,1.94,66.07,0
118,0.16,0.1,0.17,0.21,75.26,351.67,0.18,9.24,1.94,66.21,0
119,0.23,0.08,0.22,0.27,75.26,351.67,0.18,9.24,2.17,66.18,0
120,0.18,0.13,0.19,0.27,75.26,351.67,0.18,9.24,2.16,66.2,0
121,0.15,0.1,0.19,0.24,75.26,351.67,0.18,9.24,2.16,66.41,0
122,0.12,0.08,0.12,0.15,75.26,351.67,0.18,9.24,2.18,65.96,0
123,0.19,0.12,0.18,0.23,75.26,351.67,0.18,9.24,2.17,66.14,0
124,0.25,0.11,0.21,0.24,75.26,351.67,0.18,9.24,2.16,66.36,0
125,0.28,0.11,0.25,0.31,75.26,351.67,0.18,9.24,2.16,66.18,0
126,0.19,0.19,0.19,0.26,75.26,351.67,0.18,9.24,1.94,66.08,0
127,0.18,0.15,0.2,0.27,75.26,351.67,0.18,9.24,2.16,66.39,0
128,0.24,0.21,0.22,0.31,75.26,351.67,0.18,9.24,2.18,65.77,1
129,0.26,0.12,0.25,0.32,75.26,351.67,0.18,9.24,2.17,66.07,0
130,0.16,0.11,0.15,0.18,75.26,351.67,0.18,9.24,2.17,66.13,0
131,0.22,0.1,0.16,0.22,75.26,351.67,0.18,9.24,2.17,66.1,0
132,0.28,0.14,0.17,0.23,75.26,351.67,0.18,9.24,2.16,66.44,0
133,0.19,0.07,0.15,0.2,75.26,351.67,0.18,9.24,1.94,66.1,0
134,0.2,0.17,0.2,0.31,75.26,351.67,0.18,9.24,2.16,66.22,0
135,0.28,0.14,0.22,0.28,75.26,351.67,0.18,9.24,2.17,66.13,0
136,0.15,0.1,0.16,0.24,75.26,351.67,0.18,9.24,2.17,66.05,0
137,0.16,0.2,0.22,0.28,75.26,351.67,0.18,9.24,2.16,66.22,0
138,0.24,0.24,0.24,0.31,75.26,351.67,0.18,9.24,2.16,66.35,0
139,0.22,0.19,0.23,0.31,75.26,351.67,0.18,9.24,2.16,66.18,0
140,0.2,0.12,0.16,0.22,75.26,351.67,0.18,9.24,2.17,66.09,0
141,0.31,0.26,0.28,0.36,75.26,351.67,0.18,9.24,2.16,66.4,0
142,0.2,0.23,0.22,0.31,75.26,351.67,0.18,9.24,1.94,66.17,0
143,0.2,0.16,0.24,0.31,75.26,351.67,0.18,9.24,2.16,66.3,0
144,0.15,0.2,0.19,0.27,75.26,351.67,0.18,9.24,2.18,65.96,0
145,0.17,0.1,0.2,0.24,75.26,351.67,0.18,9.24,2.16,66.32,0
146,0.06,0.03,0.07,0.07,75.26,351.67,0.18,9.24,2.16,66.16,0
147,0.29,0.27,0.32,0.39,75.26,351.67,0.18,9.24,2.16,66.18,0
148,0.17,0.18,0.24,0.41,75.26,351.67,0.18,9.24,1.93,66.31,0
149,0.19,0.2,0.21,0.28,75.26,351.67,0.18,9.24,2.17,66.09,0
150,0.11,0.06,0.11,0.14,75.26,351.67,0.18,9.24,1.94,66.17,0
151,0.23,0.07,0.21,0.26,75.26,351.67,0.18,9.24,2.17,66.07,0
152,0.15,0.15,0.16,0.21,75.26,351.67,0.18,9.24,2.16,66.26,0
153,0.15,0.07,0.14,0.15,75.26,351.67,0.18,9.24,2.17,66.14,0
154,0.26,0.13,0.23,0.3,75.26,351.67,0.18,9.24,2.16,66.42,0
155,0.13,0.13,0.12,0.16,75.26,351.67,0.18,9.24,1.93,66.23,0
156,0.15,0.13,0.16,0.18,75.26,351.67,0.18,9.24,2.17,66.18,0
157,0.2,0.18,0.26,0.36,75.26,351.67,0.18,9.24,2.16,66.38,0
158,0.25,0.08,0.2,0.25,75.26,351.67,0.18,9.24,2.16,66.16,0
159,0.23,0.12,0.18,0.24,75.26,351.67,0.18,9.24,2.16,66.41,0
160,0.17,0.17,0.21,0.29,75.26,351.67,0.18,9.24,2.16,66.3,0
161,0.25,0.27,0.25,0.35,75.26,351.67,0.18,9.24,2.16,66.18,0
162,0.23,0.12,0.19,0.23,75.26,351.67,0.18,9.24,2.16,66.17,0
163,0.2,0.07,0.22,0.35,75.26,351.67,0.18,9.24,2.17,66.14,0
164,0.06,0.05,0.06,0.07,75.26,351.67,0.18,9.24,2.16,66.19,0
165,0.25,0.27,0.3,0.38,75.26,351.67,0.18,9.24,2.16,66.38,0
166,0.17,0.17,0.18,0.24,75.26,351.67,0.18,9.24,2.16,66.29,0
167,0.27,0.3,0.3,0.37,75.26,351.67,0.18,9.24,2.16,66.21,0
168,0.33,0.14,0.29,0.38,75.26,351.67,0.18,9.24,2.17,66.16,0
169,0.2,0.17,0.25,0.35,75.26,351.67,0.18,9.24,2.16,66.27,0
170,0.18,0.2,0.25,0.35,75.26,351.67,0.18,9.24,1.94,66.09,0
171,0.19,0.14,0.19,0.21,75.26,351.67,0.18,9.24,1.93,66.26,0
172,0.24,0.2,0.24,0.28,75.26,351.67,0.18,9.24,1.94,66.19,0
173,0.11,0.08,0.11,0.13,75.26,351.67,0.18,9.24,2.18,65.97,0
174,0.22,0.11,0.2,0.25,75.26,351.67,0.18,9.24,1.94,66.17,0
175,0.32,0.15,0.27,0.32,75.26,351.67,0.18,9.24,2.16,66.29,0
176,0.15,0.11,0.18,0.21,75.26,351.67,0.18,9.24,1.94,66.2,0
177,0.19,0.21,0.26,0.3,75.26,351.67,0.18,9.24,1.93,66.39,0
178,0.25,0.23,0.29,0.39,75.26,351.67,0.18,9.24,2.16,66.38,0
179,0.2,0.22,0.21,0.27,75.26,351.67,0.18,9.24,1.94,66.13,0
180,0.25,0.2,0.27,0.33,75.26,351.67,0.18,9.24,2.16,66.39,0
181,0.1,0.09,0.11,0.12,75.26,351.67,0.18,9.24,1.93,66.28,0
182,0.21,0.18,0.21,0.28,75.26,351.67,0.18,9.24,2.16,66.2,0
183,0.24,0.11,0.24,0.33,75.26,351.67,0.18,9.24,2.17,66.11,0
184,0.22,0.09,0.18,0.22,75.26,351.67,0.18,9.24,2.17,66.11,0
185,0.15,0.14,0.18,0.22,75.26,351.67,0.18,9.24,2.16,66.12,0
186,0.27,0.11,0.16,0.23,75.26,351.67,0.18,9.24,2.19,65.73,1
187,0.2,0.18,0.18,0.25,75.26,351.67,0.18,9.24,1.94,66.17,0
188,0.24,0.18,0.23,0.29,75.26,351.67,0.18,9.24,1.94,66.17,0
189,0.22,0.17,0.23,0.29,75.26,351.67,0.18,9.24,1.93,66.34,0
190,0.24,0.18,0.22,0.29,75.26,351.67,0.18,9.24,2.16,66.42,0
191,0.24,0.23,0.24,0.31,75.26,351.67,0.18,9.24,2.16,66.37,0
192,0.23,0.11,0.21,0.26,75.26,351.67,0.18,9.24,2.17,66.16,0
193,0.2,0.16,0.23,0.31,75.26,351.67,0.18,9.24,2.17,66.11,0
194,0.37,0.3,0.3,0.37,75.26,351.67,0.18,9.24,2.17,66.16,0
195,0.27,0.1,0.15,0.22,67.87,421.21,1.83,14.78,1.96,65.61,1
196,0.2,0.15,0.22,0.29,67.87,421.21,1.83,14.78,2.17,65.88,0
197,0.3,0.05,0.21,0.26,67.87,421.21,1.83,14.78,2.18,65.75,0
198,0.25,0.13,0.22,0.27,67.87,421.21,1.83,14.78,2.18,65.8,0
199,0.35,0.06,0.24,0.28,67.87,421.21,1.83,14.78,2.18,65.82,0
200,0.26,0.09,0.19,0.23,67.87,421.21,1.83,14.78,2.24,65.53,0
201,0.19,0.15,0.24,0.28,67.87,421.21,1.83,14.78,1.93,66.01,0
202,0.26,0.06,0.22,0.27,67.87,421.21,1.83,14.78,1.94,65.87,0
203,0.24,0.11,0.21,0.27,67.87,421.21,1.83,14.78,2.18,65.84,0
204,0.29,0.14,0.24,0.29,67.87,421.21,1.83,14.78,2.18,65.8,0
205,0.17,0.15,0.18,0.22,67.87,421.21,1.83,14.78,1.96,65.64,0
206,0.2,0.24,0.26,0.33,67.87,421.21,1.83,14.78,1.94,65.95,0
207,0.27,0.1,0.19,0.26,67.87,421.21,1.83,14.78,2.19,65.58,1
208,0.23,0.11,0.23,0.31,67.87,421.21,1.83,14.78,2.17,65.84,0
209,0.27,0.08,0.19,0.24,67.87,421.21,1.83,14.78,2.18,65.74,0
210,0.28,0.15,0.21,0.27,67.87,421.21,1.83,14.78,2.2,65.6,0
211,0.21,0.18,0.25,0.33,67.87,421.21,1.83,14.78,2.19,65.64,0
212,0.28,0.1,0.2,0.25,67.87,421.21,1.83,14.78,2.18,65.71,0
213,0.31,0.13,0.26,0.34,67.87,421.21,1.83,14.78,2.18,65.76,0
214,0.25,0.14,0.25,0.37,67.87,421.21,1.83,14.78,1.98,65.58,0
215,0.21,0.07,0.16,0.2,67.87,421.21,1.83,14.78,2.18,65.81,0
216,0.17,0.15,0.18,0.23,67.87,421.21,1.83,14.78,1.97,65.61,0
217,0.2,0.2,0.27,0.32,67.87,421.21,1.83,14.78,2.17,65.88,0
218,0.25,0.2,0.24,0.34,67.87,421.21,1.83,14.78,2.16,65.98,0
219,0.29,0.14,0.26,0.31,67.87,421.21,1.83,14.78,2.17,65.89,0
220,0.17,0.14,0.24,0.28,67.87,421.21,1.83,14.78,1.96,65.67,0
221,0.23,0.12,0.22,0.28,67.87,421.21,1.83,14.78,1.94,65.84,0
222,0.18,0.12,0.19,0.22,67.87,421.21,1.83,14.78,2.17,65.93,0
223,0.19,0.1,0.18,0.24,67.87,421.21,1.83,14.78,1.95,65.78,0
224,0.25,0.15,0.25,0.31,67.87,421.21,1.83,14.78,2.17,65.95,0
225,0.24,0.14,0.25,0.3,67.87,421.21,1.83,14.78,1.95,65.81,0
226,0.16,0.1,0.17,0.22,67.87,421.21,1.83,14.78,2.19,65.69,0
227,0.21,0.18,0.2,0.24,67.87,421.21,1.83,14.78,2.18,65.72,0
228,0.2,0.12,0.19,0.24,67.87,421.21,1.83,14.78,2.17,65.91,0
229,0.16,0.11,0.19,0.25,67.87,421.21,1.83,14.78,2.17,65.81,0
230,0.23,0.15,0.21,0.27,67.87,421.21,1.83,14.78,2.18,65.77,0
231,0.14,0.19,0.18,0.27,67.87,421.21,1.83,14.78,1.94,65.89,0
232,0.26,0.09,0.23,0.29,67.87,421.21,1.83,14.78,1.94,65.85,0
233,0.29,0.14,0.25,0.34,67.87,421.21,1.83,14.78,2.22,65.54,0
234,0.13,0.14,0.17,0.21,67.87,421.21,1.83,14.78,2.17,65.84,0
235,0.22,0.12,0.21,0.26,67.87,421.21,1.83,14.78,2.17,65.94,0
236,0.26,0.15,0.25,0.33,67.87,421.21,1.83,14.78,2.24,65.52,0
237,0.23,0.16,0.2,0.25,67.87,421.21,1.83,14.78,1.95,65.75,0
238,0.19,0.11,0.17,0.2,67.87,421.21,1.83,14.78,2.18,65.84,0
239,0.23,0.15,0.22,0.29,67.87,421.21,1.83,14.78,2.18,65.78,0
240,0.04,0.02,0.04,0.04,67.87,421.21,1.83,14.78,0.0,65.49,0
241,0.18,0.1,0.18,0.23,67.87,421.21,1.83,14.78,1.94,65.86,0
242,0.18,0.18,0.23,0.29,67.87,421.21,1.83,14.78,2.17,65.89,0
243,0.13,0.08,0.14,0.22,67.87,421.21,1.83,14.78,1.94,65.94,0
244,0.24,0.11,0.23,0.28,67.87,421.21,1.83,14.78,2.17,65.87,0
245,0.28,0.16,0.3,0.37,67.87,421.21,1.83,14.78,2.17,65.86,0
246,0.04,0.03,0.05,0.06,67.87,421.21,1.83,14.78,1.97,65.52,0
247,0.22,0.12,0.2,0.27,67.87,421.21,1.83,14.78,1.99,65.55,0
248,0.24,0.08,0.22,0.29,67.87,421.21,1.83,14.78,2.24,65.53,0
249,0.23,0.22,0.29,0.45,67.87,421.21,1.83,14.78,2.17,65.83,0
250,0.26,0.14,0.23,0.27,67.87,421.21,1.83,14.78,2.17,65.86,0
251,0.26,0.12,0.22,0.27,67.87,421.21,1.83,14.78,2.18,65.77,0
252,0.23,0.1,0.17,0.21,67.87,421.21,1.83,14.78,1.95,65.72,0
253,0.19,0.13,0.19,0.24,67.87,421.21,1.83,14.78,1.97,65.61,0
254,0.27,0.1,0.23,0.29,67.87,421.21,1.83,14.78,2.01,65.51,0
255,0.19,0.12,0.2,0.26,67.87,421.21,1.83,14.78,1.94,65.84,0
256,0.34,0.19,0.32,0.4,67.87,421.21,1.83,14.78,2.17,65.88,0
257,0.14,0.08,0.13,0.17,67.87,421.21,1.83,14.78,1.95,65.82,0
258,0.1,0.07,0.1,0.13,67.87,421.21,1.83,14.78,2.17,65.86,0
259,0.2,0.1,0.17,0.21,67.87,421.21,1.83,14.78,1.94,65.95,0
260,0.17,0.06,0.13,0.16,67.87,421.21,1.83,14.78,2.18,65.73,0
261,0.2,0.16,0.21,0.32,67.87,421.21,1.83,14.78,2.21,65.58,0
262,0.24,0.17,0.24,0.34,67.87,421.21,1.83,14.78,1.95,65.68,0
263,0.21,0.09,0.17,0.21,67.87,421.21,1.83,14.78,2.17,65.85,0
264,0.18,0.12,0.2,0.28,67.87,421.21,1.83,14.78,2.17,65.91,0
265,0.21,0.14,0.21,0.29,67.87,421.21,1.83,14.78,2.17,65.93,0
266,0.12,0.09,0.16,0.19,67.87,421.21,1.83,14.78,2.16,66.32,0
267,0.17,0.09,0.16,0.19,67.87,421.21,1.83,14.78,2.18,65.72,0
268,0.19,0.12,0.17,0.21,67.87,421.21,1.83,14.78,1.95,65.84,0
269,0.28,0.17,0.24,0.3,67.87,421.21,1.83,14.78,2.19,65.71,0
270,0.24,0.14,0.26,0.29,67.87,421.21,1.83,14.78,2.17,65.92,0
271,0.12,0.08,0.14,0.18,67.87,421.21,1.83,14.78,1.95,65.71,0
272,0.24,0.15,0.26,0.32,67.87,421.21,1.83,14.78,1.96,65.66,0
273,0.21,0.11,0.2,0.25,67.87,421.21,1.83,14.78,2.16,65.99,0
274,0.2,0.15,0.21,0.28,67.87,421.21,1.83,14.78,1.94,65.96,0
275,0.06,0.02,0.05,0.05,67.87,421.21,1.83,14.78,2.21,65.49,0
276,0.2,0.11,0.17,0.19,67.87,421.21,1.83,14.78,2.18,65.78,0
277,0.22,0.11,0.19,0.26,67.87,421.21,1.83,14.78,2.24,65.52,0
278,0.18,0.11,0.15,0.2,67.87,421.21,1.83,14.78,1.95,65.75,0
279,0.23,0.11,0.23,0.28,67.87,421.21,1.83,14.78,1.95,65.69,0
280,0.23,0.23,0.28,0.4,67.87,421.21,1.83,14.78,1.99,65.53,0
281,0.26,0.21,0.24,0.31,67.87,421.21,1.83,14.78,1.94,65.91,0
282,0.2,0.2,0.24,0.32,67.87,421.21,1.83,14.78,2.17,65.86,0
283,0.03,0.03,0.04,0.05,67.87,421.21,1.83,14.78,1.98,65.48,0
284,0.26,0.17,0.23,0.32,67.87,421.21,1.83,14.78,2.2,65.61,0
285,0.03,0.03,0.03,0.04,67.87,421.21,1.83,14.78,2.2,65.52,0
286,0.25,0.17,0.22,0.29,67.87,421.21,1.83,14.78,2.17,65.94,0
287,0.31,0.11,0.25,0.32,67.87,421.21,1.83,14.78,2.17,65.89,0
288,0.21,0.19,0.27,0.37,67.87,421.21,1.83,14.78,0.0,65.51,0
289,0.31,0.18,0.27,0.33,67.87,421.21,1.83,14.78,2.19,65.67,0
290,0.26,0.15,0.23,0.27,67.87,421.21,1.83,14.78,2.16,66.02,0
291,0.2,0.18,0.2,0.29,67.87,421.21,1.83,14.78,2.17,65.96,0
292,0.3,0.14,0.28,0.31,67.87,421.21,1.83,14.78,1.94,65.93,0
293,0.04,0.02,0.05,0.06,67.87,421.21,1.83,14.78,2.2,65.5,0
294,0.27,0.16,0.26,0.31,67.87,421.21,1.83,14.78,2.23,65.53,0
295,0.25,0.18,0.24,0.29,67.87,421.21,1.83,14.78,1.95,65.69,0
296,0.21,0.09,0.19,0.24,67.87,421.21,1.83,14.78,2.17,65.87,0
297,0.03,0.02,0.03,0.04,67.87,421.21,1.83,14.78,1.97,65.49,0
298,0.17,0.17,0.17,0.24,85.22,422.12,1.01,12.06,1.97,65.59,0
299,0.23,0.18,0.19,0.26,85.22,422.12,1.01,12.06,1.94,65.88,0
300,0.11,0.15,0.17,0.24,85.22,422.12,1.01,12.06,1.94,65.97,1
301,0.12,0.17,0.18,0.25,85.22,422.12,1.01,12.06,1.93,66.32,0
302,0.21,0.11,0.17,0.24,85.22,422.12,1.01,12.06,2.17,65.91,0
303,0.17,0.12,0.17,0.23,85.22,422.12,1.01,12.06,1.94,65.98,0
304,0.2,0.2,0.21,0.31,85.22,422.12,1.01,12.06,1.95,65.93,0
305,0.18,0.15,0.16,0.23,85.22,422.12,1.01,12.06,1.94,66.01,0
306,0.23,0.15,0.17,0.22,85.22,422.12,1.01,12.06,2.16,66.25,1
307,0.21,0.12,0.18,0.24,85.22,422.12,1.01,12.06,2.17,66.01,0
308,0.22,0.1,0.16,0.23,85.22,422.12,1.01,12.06,2.17,65.95,0
309,0.09,0.07,0.1,0.14,85.22,422.12,1.01,12.06,1.94,65.91,1
310,0.21,0.15,0.16,0.23,85.22,422.12,1.01,12.06,2.17,65.98,0
311,0.08,0.11,0.12,0.19,85.22,422.12,1.01,12.06,1.94,66.04,1
312,0.24,0.13,0.19,0.25,85.22,422.12,1.01,12.06,2.18,65.87,0
313,0.21,0.11,0.17,0.22,85.22,422.12,1.01,12.06,2.17,65.91,0
314,0.15,0.11,0.15,0.21,85.22,422.12,1.01,12.06,2.18,65.88,0
